B0,B1,B2,B3,Label
-73,-73,-84,-73,5
-78,-64,-66,-81,4
-75,-67,-80,-86,3
-55,-60,-88,-71,1
-76,-64,-79,-69,6
-68,-75,-76,-70,2
-64,-84,-78,-73,5
-65,-79,-82,-69,1
-91,-65,-74,-76,12
-74,-76,-74,-69,11
-72,-73,-83,-49,10
-74,-77,-85,-71,8
-81,-66,-81,-71,15
-76,-58,-80,-65,6
-62,-80,-72,-75,1
-63,-74,-82,-46,13
-73,-85,-73,-74,5
-74,-67,-91,-70,8
-75,-72,-79,-67,6
-69,-74,-80,-60,10
-75,-75,-59,-52,13
-72,-73,-77,-62,15
-80,-73,-85,-70,7
-76,-69,-88,-72,3
-59,-82,-79,-66,11
-76,-77,-83,-60,14
-84,-74,-84,-53,13
-76,-75,-82,-67,11
-76,-63,-78,-74,4
-58,-76,-81,-56,13
-69,-84,-78,-58,9
-66,-78,-82,-55,13
-73,-79,-66,-76,1
-84,-73,-56,-75,16
-81,-82,-60,-82,12
-94,-76,-81,-57,13
-85,-81,-75,-82,12
-89,-76,-78,-55,13
-75,-77,-64,-55,13
-69,-81,-83,-59,9
-74,-72,-80,-49,6
-74,-66,-84,-65,8
-89,-67,-84,-72,8
-75,-66,-88,-71,8
-70,-85,-83,-59,9
-77,-73,-74,-69,7
-83,-65,-75,-59,14
-77,-76,-88,-62,14
-87,-64,-66,-61,8
-74,-68,-69,-72,3
-69,-77,-81,-62,10
-81,-78,-74,-64,14
-89,-84,-68,-75,12
-77,-74,-85,-70,7
-85,-65,-54,-77,16
-76,-75,-75,-53,14
-84,-81,-55,-76,16
-77,-80,-76,-71,11
-72,-81,-80,-69,2
-72,-86,-80,-73,5
-74,-65,-81,-53,13
-82,-83,-75,-82,12
-78,-74,-77,-69,7
-70,-77,-76,-60,14
-71,-76,-78,-66,6
-88,-65,-72,-55,8
-74,-72,-93,-71,8
-69,-71,-75,-74,12
-69,-64,-72,-70,8
-62,-75,-80,-84,6
-102,-67,-72,-74,8
-69,-82,-95,-58,10
-76,-80,-71,-65,11
-85,-74,-83,-47,13
-72,-92,-87,-69,5
-71,-90,-83,-73,5
-74,-50,-71,-59,8
-62,-78,-77,-73,2
-70,-79,-81,-72,1
-73,-80,-79,-65,6
-70,-85,-86,-58,9
-82,-80,-56,-59,16
-88,-72,-61,-75,12
-75,-74,-81,-69,6
-68,-80,-72,-71,2
-77,-82,-81,-64,6
-62,-76,-77,-55,2
-83,-73,-55,-70,16
-66,-94,-88,-70,1
-58,-73,-81,-62,10
-79,-76,-84,-58,11
-66,-77,-77,-70,11
-55,-64,-80,-63,10
-84,-66,-41,-54,16
-78,-77,-72,-52,7
-66,-97,-91,-76,1
-84,-65,-76,-87,4
-78,-88,-87,-58,14
-79,-76,-80,-75,6
-79,-76,-84,-63,14
-78,-57,-85,-72,7
-74,-81,-66,-57,13
-79,-80,-77,-71,15
-86,-85,-78,-74,5
-72,-62,-86,-54,2
-65,-79,-39,-74,16
-73,-61,-79,-73,5
-71,-84,-90,-76,5
-91,-78,-76,-71,11
-74,-57,-83,-74,3
-82,-78,-80,-63,10
-73,-65,-83,-69,8
-90,-74,-56,-74,16
-77,-82,-59,-56,11
-63,-79,-95,-72,2
-74,-58,-79,-62,10
-60,-87,-60,-71,11
-83,-80,-61,-52,13
-76,-78,-82,-63,10
-76,-66,-74,-67,11
-74,-65,-91,-70,8
-74,-65,-73,-71,8
-73,-65,-72,-71,8
-69,-85,-88,-63,9
-48,-77,-77,-72,2
-87,-83,-57,-68,16
-82,-64,-81,-60,4
-88,-80,-60,-85,12
-68,-68,-94,-82,3
-87,-81,-77,-63,15
-73,-81,-54,-68,16
-72,-95,-85,-63,5
-73,-72,-77,-75,3
-72,-88,-91,-45,9
-69,-73,-78,-64,10
-93,-72,-75,-88,12
-72,-64,-56,-71,8
-66,-76,-66,-73,2
-74,-81,-77,-52,13
-89,-84,-59,-78,12
-82,-63,-83,-74,4
-79,-72,-83,-71,14
-83,-74,-82,-36,13
-71,-82,-80,-60,9
-78,-75,-65,-70,11
-73,-69,-80,-73,3
-73,-78,-79,-72,2
-66,-83,-90,-61,9
-77,-67,-86,-72,3
-77,-57,-89,-67,7
-69,-70,-90,-73,3
-74,-82,-66,-65,6
-82,-84,-82,-70,11
-63,-71,-75,-69,2
-83,-60,-81,-55,13
-73,-64,-71,-69,8
-77,-77,-85,-70,7
-62,-75,-72,-54,2
-96,-66,-72,-68,8
-88,-62,-74,-86,12
-86,-77,-84,-70,7
-66,-64,-80,-75,1
-79,-71,-75,-86,12
-68,-71,-75,-58,9
-71,-75,-79,-62,10
-61,-75,-85,-69,7
-79,-63,-77,-72,4
-72,-97,-87,-76,1
-75,-82,-83,-64,6
-72,-47,-81,-75,4
-77,-75,-87,-68,7
-73,-82,-79,-56,2
-83,-58,-77,-58,14
-75,-66,-72,-70,8
-74,-64,-82,-81,4
-79,-78,-79,-71,1
-72,-80,-81,-67,15
-68,-78,-84,-61,9
-84,-63,-79,-62,10
-75,-74,-68,-57,13
-87,-89,-76,-76,12
-73,-74,-87,-67,5
-72,-76,-77,-70,2
-83,-65,-81,-76,4
-91,-69,-75,-77,12
-74,-70,-72,-64,3
-59,-85,-84,-58,9
-88,-59,-55,-54,16
-68,-76,-77,-69,2
-62,-79,-77,-71,2
-79,-59,-82,-73,6
-74,-67,-82,-73,3
-83,-77,-75,-63,14
-79,-83,-81,-67,6
-57,-93,-73,-62,1
-77,-62,-81,-69,6
-68,-80,-80,-72,2
-77,-75,-75,-60,14
-73,-74,-78,-55,13
-79,-63,-40,-75,16
-74,-76,-79,-62,10
-86,-78,-77,-42,13
-80,-65,-80,-74,4
-67,-85,-79,-58,9
-74,-73,-81,-62,10
-92,-83,-76,-76,12
-80,-61,-84,-48,14
-84,-66,-54,-54,16
-68,-82,-75,-67,2
-88,-80,-75,-84,12
-81,-82,-75,-82,3
-74,-84,-81,-59,10
-73,-77,-76,-68,11
-68,-78,-87,-67,9
-74,-59,-82,-64,3
-78,-72,-84,-69,7
-82,-73,-87,-69,7
-73,-67,-72,-74,8
-79,-75,-82,-54,15
-70,-82,-88,-61,9
-74,-65,-79,-64,10
-91,-78,-76,-71,11
-77,-74,-82,-75,3
-76,-62,-68,-61,4
-74,-77,-75,-71,6
-75,-73,-81,-63,10
-76,-69,-83,-58,3
-73,-65,-71,-69,8
-69,-74,-79,-63,10
-74,-76,-68,-71,11
-73,-85,-79,-71,5
-76,-79,-82,-66,11
-70,-88,-80,-64,10
-73,-64,-87,-73,8
-74,-72,-80,-68,6
-81,-66,-45,-80,16
-79,-84,-78,-61,6
-77,-79,-80,-61,10
-78,-75,-80,-69,11
-71,-78,-84,-55,13
-77,-78,-83,-61,14
-79,-76,-87,-67,6
-71,-73,-81,-62,10
-58,-82,-82,-71,9
-70,-87,-80,-59,9
-77,-78,-75,-63,14
-81,-74,-84,-49,6
-67,-74,-91,-79,1
-79,-74,-84,-69,7
-87,-72,-55,-68,16
-82,-74,-82,-68,7
-81,-70,-86,-50,14
-58,-63,-65,-64,4
-55,-80,-83,-63,10
-69,-86,-85,-58,9
-73,-47,-77,-60,4
-77,-74,-84,-72,7
-57,-74,-76,-74,5
-80,-62,-84,-60,14
-79,-81,-82,-68,15
-85,-76,-67,-55,13
-86,-65,-56,-68,16
-75,-77,-76,-60,11
-81,-77,-70,-52,14
-75,-75,-84,-68,7
-78,-77,-71,-45,14
-80,-54,-82,-73,3
-63,-74,-86,-71,7
-64,-81,-87,-58,9
-83,-70,-75,-76,12
-76,-80,-76,-56,13
-78,-73,-75,-73,6
