B0,B1,B2,Label
-55,-73,-79,15
-75,-56,-87,7
-71,-81,-89,10
-82,-69,-74,8
-59,-96,-79,1
-64,-71,-64,16
-80,-70,-76,12
-69,-71,-79,4
-68,-75,-69,6
-71,-76,-86,3
-52,-79,-77,5
-77,-73,-79,15
-75,-61,-77,15
-63,-70,-85,8
-63,-78,-81,10
-67,-71,-65,3
-81,-55,-56,8
-51,-78,-79,5
-67,-63,-78,13
-53,-79,-77,5
-52,-74,-83,6
-73,-76,-79,3
-67,-72,-81,6
-71,-73,-62,16
-86,-55,-77,12
-55,-72,-82,7
-65,-65,-79,2
-84,-63,-71,14
-66,-72,-70,6
-42,-87,-84,5
-69,-72,-62,16
-52,-72,-87,5
-58,-58,-63,3
-64,-64,-77,2
-62,-75,-79,2
-69,-66,-83,7
-70,-72,-79,7
-42,-79,-82,9
-77,-61,-72,15
-75,-81,-76,12
-56,-84,-77,9
-67,-71,-78,3
-55,-81,-81,9
-73,-78,-57,14
-55,-66,-77,4
-47,-79,-76,2
-70,-71,-71,7
-71,-57,-66,16
-65,-75,-78,2
-56,-64,-76,9
-38,-83,-63,9
-51,-68,-63,3
-73,-81,-71,14
-71,-82,-76,7
-49,-63,-79,10
-67,-66,-80,3
-67,-77,-80,11
-76,-56,-76,12
-78,-86,-75,12
-70,-87,-78,13
-61,-61,-76,2
-72,-81,-61,14
-73,-58,-86,7
-65,-75,-69,6
-78,-79,-85,10
-82,-72,-80,15
-51,-78,-79,5
-78,-53,-83,8
-67,-74,-80,3
-68,-67,-79,4
-70,-64,-83,8
-69,-78,-80,10
-52,-86,-66,5
-59,-72,-65,14
-47,-78,-78,5
-75,-88,-75,12
-65,-76,-79,1
-85,-71,-58,12
-66,-51,-82,4
-59,-68,-77,4
-77,-75,-65,15
-72,-71,-86,3
-70,-82,-64,16
-44,-74,-82,1
-69,-67,-62,16
-72,-76,-71,8
-75,-71,-89,7
-71,-86,-74,13
-55,-83,-81,9
-68,-76,-69,6
-67,-74,-60,11
-47,-61,-78,2
-81,-67,-84,8
-72,-89,-83,14
-71,-51,-82,4
-67,-75,-61,16
-72,-80,-61,16
-65,-81,-76,2
-69,-83,-78,13
-54,-74,-77,13
-66,-72,-84,6
-57,-80,-81,1
-65,-74,-66,6
-53,-79,-83,9
-63,-77,-54,16
-72,-74,-58,16
-41,-80,-90,5
-57,-78,-80,10
-70,-81,-79,13
-84,-79,-79,10
-52,-78,-75,5
-77,-85,-78,14
-45,-85,-62,5
-75,-85,-76,12
-68,-66,-82,10
-75,-71,-76,12
-69,-82,-72,7
-54,-81,-79,9
-52,-77,-93,5
-76,-69,-72,12
-70,-85,-74,13
-38,-86,-68,9
-66,-75,-78,2
-66,-78,-66,2
-71,-76,-64,3
-73,-73,-71,14
-70,-51,-72,8
-69,-66,-83,4
-72,-71,-95,3
-80,-68,-84,8
-43,-84,-78,1
-55,-76,-81,9
-69,-68,-67,11
-52,-77,-78,5
-65,-78,-75,2
-72,-80,-78,13
-66,-77,-79,11
-61,-65,-81,13
-65,-79,-76,11
-61,-77,-76,2
-70,-72,-77,13
-64,-79,-77,11
-62,-74,-76,2
-68,-78,-75,11
-77,-77,-73,15
-86,-91,-61,12
-69,-72,-79,3
-53,-83,-63,9
-72,-70,-70,3
-63,-54,-76,4
-83,-77,-77,14
-70,-82,-85,15
-76,-78,-73,15
-74,-88,-75,12
-69,-73,-61,16
-55,-62,-63,9
-64,-64,-86,10
-65,-60,-76,11
-64,-68,-82,4
-22,-78,-79,5
-65,-67,-77,4
-38,-79,-83,9
-42,-82,-67,9
-56,-77,-80,10
-50,-78,-79,5
-70,-80,-80,10
-51,-66,-62,4
-64,-93,-82,1
-69,-78,-78,15
-64,-79,-78,2
-66,-64,-81,4
-71,-71,-78,13
-65,-76,-73,10
-64,-65,-77,4
-63,-87,-76,2
-83,-93,-77,12
-73,-74,-67,15
-64,-77,-63,2
-38,-76,-66,9
-53,-83,-77,9
-83,-81,-71,12
-72,-69,-86,3
-70,-71,-62,16
-74,-72,-79,13
-65,-81,-79,2
-70,-55,-78,7
-63,-81,-75,2
-69,-67,-72,8
-66,-73,-80,6
-68,-72,-58,16
-84,-72,-79,15
-58,-79,-88,1
-67,-71,-79,3
-67,-73,-79,3
-65,-78,-75,11
-64,-78,-60,11
-73,-73,-71,15
-70,-55,-71,8
-52,-65,-76,9
-76,-74,-79,15
-71,-60,-77,13
-66,-67,-81,10
-70,-66,-77,4
-65,-75,-80,6
-61,-75,-80,1
-64,-69,-61,16
-44,-73,-81,1
-80,-51,-92,8
-53,-74,-80,6
-56,-76,-81,10
-87,-71,-58,15
-52,-86,-80,5
-46,-62,-65,5
-64,-72,-81,6
-74,-81,-71,10
-76,-79,-83,10
-51,-52,-80,3
-79,-86,-75,12
-52,-62,-57,15
-49,-72,-84,6
-65,-65,-81,4
-70,-84,-62,16
-75,-79,-79,14
-67,-75,-63,16
-69,-72,-82,7
-77,-80,-79,10
-72,-77,-69,15
-46,-62,-84,5
-59,-87,-83,1
-86,-73,-65,14
-71,-77,-69,15
-57,-72,-79,13
-55,-82,-78,9
-66,-74,-79,6
-70,-66,-77,4
-71,-73,-61,16
-68,-60,-81,3
-65,-77,-78,2
-72,-58,-86,3
-53,-69,-69,4
-59,-85,-79,1
-64,-66,-61,4
-48,-80,-80,9
-83,-72,-78,14
-63,-60,-63,2
-71,-77,-84,13
-52,-87,-91,5
-52,-75,-86,6
-65,-75,-78,2
-71,-75,-80,3
-52,-78,-91,5
-55,-80,-89,7
-64,-62,-77,2
-68,-72,-85,6
-51,-84,-87,5
-63,-77,-76,2
-71,-75,-66,15
-64,-70,-75,4
-71,-57,-95,3
-65,-80,-78,11
-67,-76,-79,3
-71,-75,-75,11
-53,-78,-64,16
-69,-72,-82,7
-68,-76,-64,16
-66,-77,-60,2
-68,-76,-82,10
-71,-71,-81,7
-66,-67,-61,4
-71,-74,-76,13
-74,-80,-78,10
-71,-65,-79,11
-79,-81,-84,10
-63,-79,-75,2
-65,-81,-80,1
-64,-78,-63,2
-71,-72,-79,13
-72,-78,-82,10
-67,-71,-81,3
-65,-75,-84,6
-35,-83,-77,5
-68,-72,-83,6
-68,-76,-78,13
-66,-66,-87,4
-71,-80,-85,10
-64,-84,-65,13
-68,-71,-72,12
-58,-57,-82,7
-52,-76,-82,13
-68,-72,-81,6
-73,-70,-62,12
-71,-57,-78,3
-52,-89,-89,5
-76,-71,-80,13
-72,-70,-85,7
-76,-74,-65,14
-70,-78,-78,15
-52,-78,-73,5
-56,-77,-80,9
-71,-76,-75,11
-78,-82,-80,14
-77,-77,-88,10
-73,-65,-72,14
-66,-75,-77,2
-70,-72,-77,13
-55,-76,-77,11
-53,-80,-79,9
-56,-54,-72,4
-68,-72,-79,6
-69,-75,-82,3
-60,-83,-79,13
-62,-79,-73,10
