B1_RSSI,B2_RSSI,B3_RSSI,Class
-63,-64,-78,2
-65,-78,-76,2
-64,-78,-76,2
-62,-78,-76,2
-64,-77,-79,2
-64,-80,-62,2
-63,-77,-79,2
-62,-75,-79,2
-62,-79,-61,2
-65,-81,-79,2
-64,-77,-76,2
-63,-78,-77,2
-65,-79,-75,2
-64,-61,-63,2
-63,-75,-79,2
-63,-80,-75,2
-65,-78,-75,2
-63,-78,-77,2
-49,-78,-75,2
-64,-80,-75,2
-62,-64,-79,2
-63,-75,-75,2
-63,-77,-77,2
-65,-78,-75,2
-47,-79,-76,2
-63,-80,-76,2
-63,-67,-74,2
-65,-75,-77,2
-65,-66,-76,2
-65,-80,-75,2
-63,-77,-62,2
-65,-61,-77,2
-66,-77,-60,2
-48,-78,-75,2
-65,-78,-75,2
-61,-61,-76,2
-64,-77,-63,2
-64,-62,-63,2
-48,-75,-76,2
-49,-75,-78,2
-63,-80,-80,2
-65,-80,-80,2
-62,-75,-77,2
-64,-81,-77,2
-63,-79,-78,2
-63,-77,-77,2
-65,-61,-76,2
-63,-81,-75,2
-64,-81,-75,2
-64,-79,-61,2
-65,-81,-76,2
-62,-61,-79,2
-64,-67,-79,2
-64,-75,-78,2
-64,-75,-77,2
-64,-62,-77,2
-65,-75,-78,2
-65,-78,-75,2
-48,-77,-62,2
-63,-80,-76,2
-61,-77,-76,2
-63,-78,-76,2
-48,-78,-81,2
-48,-61,-61,2
-64,-79,-76,2
-64,-79,-78,2
-64,-77,-75,2
-64,-64,-77,2
-48,-61,-62,2
-48,-78,-63,2
-49,-91,-76,2
-65,-80,-76,2
-63,-77,-76,2
-65,-77,-78,2
-65,-79,-79,2
-66,-81,-62,2
-65,-75,-79,2
-65,-61,-63,2
-66,-78,-66,2
-49,-61,-77,2
-49,-78,-66,2
-64,-83,-69,2
-65,-80,-75,2
-65,-80,-79,2
-64,-79,-79,2
-65,-79,-79,2
-64,-78,-63,2
-63,-80,-63,2
-49,-77,-79,2
-65,-78,-78,2
-64,-62,-80,2
-64,-79,-76,2
-64,-79,-76,2
-62,-74,-76,2
-48,-77,-75,2
-48,-63,-62,2
-48,-76,-80,2
-63,-76,-80,2
-65,-76,-80,2
-65,-80,-80,2
-65,-80,-63,2
-63,-75,-79,2
-63,-75,-77,2
-49,-75,-80,2
-63,-77,-76,2
-64,-75,-78,2
-66,-81,-76,2
-63,-80,-76,2
-48,-80,-76,2
-49,-80,-63,2
-48,-77,-81,2
-65,-64,-78,2
-67,-76,-80,3
-67,-75,-82,3
-73,-71,-89,3
-72,-71,-96,3
-71,-66,-79,3
-72,-67,-65,3
-70,-68,-65,3
-56,-68,-80,3
-79,-74,-81,3
-61,-76,-81,3
-71,-57,-95,3
-72,-71,-95,3
-67,-76,-95,3
-72,-66,-79,3
-68,-66,-81,3
-68,-60,-81,3
-71,-67,-92,3
-66,-76,-82,3
-66,-67,-92,3
-72,-67,-79,3
-72,-75,-81,3
-50,-75,-94,3
-71,-76,-64,3
-71,-66,-79,3
-71,-71,-78,3
-67,-76,-80,3
-72,-67,-80,3
-72,-75,-79,3
-59,-66,-81,3
-72,-52,-90,3
-68,-52,-90,3
-51,-67,-64,3
-58,-67,-81,3
-69,-71,-81,3
-72,-75,-86,3
-71,-75,-80,3
-56,-75,-79,3
-79,-75,-79,3
-67,-71,-79,3
-57,-75,-82,3
-57,-76,-82,3
-72,-71,-78,3
-71,-68,-82,3
-71,-75,-93,3
-67,-57,-80,3
-67,-52,-77,3
-71,-75,-87,3
-71,-59,-80,3
-71,-75,-82,3
-71,-66,-80,3
-71,-89,-81,3
-67,-68,-73,3
-67,-70,-83,3
-71,-75,-86,3
-72,-68,-94,3
-71,-66,-90,3
-72,-72,-68,3
-72,-70,-70,3
-73,-76,-79,3
-71,-68,-82,3
-68,-58,-81,3
-72,-72,-91,3
-68,-75,-79,3
-74,-72,-84,3
-69,-67,-79,3
-71,-75,-77,3
-70,-56,-79,3
-67,-52,-79,3
-72,-71,-79,3
-71,-76,-80,3
-57,-76,-66,3
-58,-66,-88,3
-71,-76,-69,3
-56,-71,-81,3
-68,-60,-83,3
-72,-74,-71,3
-72,-76,-82,3
-71,-68,-67,3
-72,-51,-69,3
-68,-70,-92,3
-51,-68,-64,3
-68,-52,-81,3
-67,-59,-90,3
-67,-76,-80,3
-70,-68,-81,3
-72,-67,-66,3
-72,-68,-93,3
-50,-75,-65,3
-73,-57,-84,3
-66,-67,-79,3
-71,-69,-81,3
-72,-72,-79,3
-67,-71,-81,3
-67,-71,-81,3
-58,-57,-83,3
-58,-58,-63,3
-58,-78,-63,3
-71,-68,-63,3
-57,-67,-86,3
-67,-56,-81,3
-68,-56,-82,3
-72,-76,-88,3
-51,-52,-80,3
-72,-52,-79,3
-51,-52,-79,3
-51,-70,-63,3
-51,-75,-63,3
-51,-72,-79,3
-55,-66,-88,3
-59,-67,-82,3
-71,-76,-75,3
-50,-60,-79,3
-72,-71,-86,3
-71,-75,-80,3
-67,-71,-79,3
-67,-70,-78,3
-72,-69,-86,3
-67,-66,-81,3
-67,-56,-81,3
-73,-71,-81,3
-72,-51,-85,3
-72,-66,-66,3
-57,-51,-66,3
-72,-78,-66,3
-50,-70,-80,3
-72,-75,-86,3
-72,-76,-79,3
-56,-60,-79,3
-71,-70,-79,3
-61,-72,-67,3
-67,-76,-80,3
-71,-56,-80,3
-67,-56,-73,3
-73,-68,-78,3
-67,-71,-79,3
-67,-66,-80,3
-67,-56,-80,3
-71,-73,-88,3
-68,-70,-65,3
-68,-52,-78,3
-67,-74,-78,3
-71,-57,-78,3
-69,-75,-82,3
-71,-71,-74,3
-71,-87,-80,3
-71,-70,-75,3
-69,-72,-79,3
-70,-66,-86,3
-67,-76,-79,3
-67,-74,-80,3
-70,-71,-80,3
-71,-76,-86,3
-72,-66,-87,3
-67,-70,-69,3
-66,-71,-85,3
-72,-58,-86,3
-73,-67,-80,3
-67,-71,-78,3
-67,-70,-88,3
-66,-73,-81,3
-67,-75,-81,3
-67,-73,-79,3
-57,-70,-80,3
-69,-74,-68,3
-66,-72,-82,3
-50,-72,-67,3
-50,-67,-79,3
-67,-71,-65,3
-66,-66,-79,3
-50,-51,-79,3
-58,-70,-72,3
-56,-70,-79,3
-57,-74,-79,3
-55,-75,-81,3
-69,-66,-78,3
-66,-65,-79,3
-63,-61,-87,3
-71,-66,-79,3
-71,-68,-78,3
-51,-68,-63,3
-66,-68,-79,3
-71,-75,-82,3
-73,-67,-79,3
-72,-71,-85,3
-72,-57,-81,3
-72,-71,-67,3
-50,-66,-65,3
-71,-72,-65,3
-70,-51,-85,3
-70,-56,-78,3
-67,-65,-68,3
-70,-70,-79,3
-71,-75,-64,3
-72,-59,-80,3
-70,-75,-81,3
-69,-62,-80,3
-70,-74,-79,3
-66,-75,-85,3
-73,-66,-85,3
-61,-65,-80,3
-65,-67,0,4
-50,-66,-68,4
-51,-66,-62,4
-66,-67,-76,4
-62,-67,-78,4
-63,-67,-75,4
-66,-69,-77,4
-68,-65,-76,4
-68,-67,-79,4
-51,-66,-77,4
-65,-68,-77,4
-64,-66,-77,4
-71,-54,-63,4
-69,-68,-76,4
-68,-50,-75,4
-66,-66,-77,4
-50,-67,-68,4
-68,-68,-78,4
-67,-52,-81,4
-69,-52,-81,4
-69,-66,-80,4
-51,-54,-81,4
-70,-67,-82,4
-65,-65,-80,4
-64,-69,-76,4
-51,-66,-61,4
-69,-65,-82,4
-69,-50,-80,4
-65,-64,-61,4
-64,-65,-68,4
-55,-65,-77,4
-66,-67,-78,4
-70,-67,-62,4
-53,-68,-62,4
-65,-67,-62,4
-64,-68,-82,4
-66,-66,-76,4
-65,-65,-69,4
-64,-65,-77,4
-70,-66,-81,4
