B1_RSSI,B2_RSSI,B3_RSSI,B4_RSSI,Class
-78,-63,-75,-76,4
-59,-63,-79,-75,4
-78,-58,-81,-81,4
-75,-64,-65,-73,4
-74,-54,-76,-57,4
-76,-48,-65,-81,4
-73,-63,-75,-74,4
-76,-64,-68,-80,4
-82,-63,-78,-79,4
-75,-63,-85,-79,4
-71,-63,-81,-73,4
-74,-63,-81,-73,4
-75,-64,-82,-74,4
-75,-47,-77,-82,4
-75,-47,-77,-74,4
-77,-63,-77,-73,4
-76,-63,-77,-72,4
-73,-64,-61,-76,4
-80,-63,-61,-75,4
-74,-63,-74,-73,4
-73,-65,-67,-83,4
-76,-65,-71,-59,4
-72,-65,-78,-76,4
-77,-63,-81,-84,4
-73,-63,-80,-74,4
-81,-65,-77,-68,4
-78,-64,-75,-59,4
-78,-64,-66,-81,4
-73,-64,-76,-63,4
-81,-64,-76,-77,4
-72,-64,-62,-75,4
-82,-64,-78,-65,4
-73,-59,-80,-69,4
-73,-63,-67,-76,4
-82,-63,-62,-73,4
-81,-48,-62,-73,4
-82,-63,-82,-79,4
-74,-63,-82,-73,4
-73,-59,-81,-81,4
-79,-63,-77,-79,4
-56,-50,-81,-71,4
-56,-63,-79,-76,4
-56,-65,-79,-74,4
-73,-64,-63,-71,4
-76,-64,-76,-61,4
-78,-63,-81,-74,4
-72,-63,-81,-74,4
-81,-48,-80,-79,4
-80,-64,-76,-88,4
-80,-64,-82,-81,4
-85,-64,-84,-63,4
-74,-48,-77,-73,4
-74,-65,-80,-81,4
-74,-64,-82,-81,4
-85,-63,-77,-73,4
-73,-63,-80,-73,4
-84,-65,-76,-87,4
-76,-49,-77,-77,4
-72,-64,-80,-72,4
-74,-64,-79,-77,4
-74,-64,-62,-76,4
-74,-65,-79,-59,4
-73,-64,-84,-88,4
-70,-64,-79,-60,4
-74,-65,-82,-61,4
-60,-64,-82,-76,4
-62,-64,-80,-78,4
-77,-62,-74,-77,4
-81,-65,-74,-73,4
-63,-50,-82,-72,4
-73,-65,-78,-77,4
-68,-49,-83,-76,4
-72,-47,-81,-75,4
-76,-64,-82,-80,4
-73,-63,-81,-74,4
-73,-65,-76,-73,4
-71,-63,-79,-73,4
-76,-65,-79,-74,4
-83,-65,-81,-76,4
-75,-64,-80,-79,4
-80,-65,-80,-74,4
-82,-63,-83,-73,4
-79,-47,-83,-72,4
-81,-49,-66,-72,4
-68,-64,-85,-76,4
-73,-63,-74,-76,4
-72,-63,-79,-71,4
-79,-64,-75,-62,4
-62,-63,-69,-73,4
-76,-64,-83,-74,4
-71,-63,-75,-73,4
-73,-64,-80,-78,4
-62,-65,-76,-73,4
-57,-50,-76,-79,4
-69,-64,-82,-75,4
-73,-63,-76,-81,4
-72,-63,-62,-74,4
-79,-64,-81,-74,4
-68,-64,-84,-61,4
-70,-65,-75,-73,4
-80,-64,-83,-62,4
-80,-63,-71,-59,4
-76,-58,-85,-81,4
-76,-64,-84,-79,4
-76,-64,-79,-62,4
-76,-63,-78,-74,4
-57,-65,-82,-74,4
-69,-65,-70,-64,4
-73,-64,-76,-77,4
-82,-64,-76,-79,4
-57,-64,-76,-73,4
-57,-63,-79,-80,4
-75,-64,-77,-74,4
-82,-64,-82,-81,4
-74,-64,-79,-73,4
-80,-65,-75,-58,4
-81,-62,-64,-74,4
-73,-64,-79,-74,4
-82,-63,-76,-74,4
-81,-64,-75,-66,4
-71,-64,-62,-73,4
-79,-64,-78,-73,4
-79,-64,-80,-64,4
-76,-49,-69,-77,4
-80,-65,-79,-77,4
-74,-65,-62,-59,4
-63,-47,-62,-79,4
-63,-64,-75,-76,4
-79,-49,-79,-72,4
-71,-64,-79,-71,4
-63,-63,-82,-72,4
-80,-49,-81,-75,4
-57,-63,-76,-75,4
-73,-63,-65,-75,4
-84,-62,-65,-73,4
-76,-48,-80,-73,4
-90,-63,-76,-66,4
-84,-48,-81,-73,4
-72,-63,-70,-76,4
-72,-80,-70,-73,4
-87,-80,-76,-73,4
-72,-63,-82,-76,4
-79,-54,-79,-73,4
-74,-63,-76,-73,4
-78,-66,-76,-74,4
-80,-72,-81,-70,4
-58,-66,-90,-80,4
-68,-64,-78,-73,4
-73,-62,-77,-67,4
-73,-62,-77,-73,4
-73,-62,-63,-73,4
-80,-64,-82,-58,4
-73,-65,-74,-76,4
-73,-65,-78,-60,4
-76,-64,-74,-74,4
-76,-64,-64,-72,4
-72,-63,-61,-71,4
-72,-64,-79,-71,4
-72,-65,-83,-71,4
-72,-47,-68,-74,4
-78,-49,-81,-73,4
-81,-65,-81,-74,4
-73,-66,-79,-74,4
-75,-62,-84,-73,4
-73,-63,-79,-82,4
-83,-63,-76,-83,4
-73,-64,-80,-72,4
-73,-64,-83,-73,4
-75,-64,-80,-73,4
-81,-63,-75,-84,4
-73,-63,-83,-81,4
-82,-54,-76,-80,4
-75,-59,-76,-83,4
-76,-59,-81,-82,4
-73,-63,-79,-74,4
-80,-63,-72,-75,4
-77,-63,-72,-74,4
-75,-60,-75,-59,4
-72,-63,-75,-66,4
-81,-65,-76,-72,4
-63,-62,-80,-68,4
-73,-63,-75,-68,4
-75,-63,-62,-80,4
-73,-63,-81,-73,4
-73,-65,-81,-79,4
-76,-63,-78,-82,4
-79,-64,-76,-83,4
-84,-65,-79,-74,4
-72,-65,-83,-72,4
-58,-65,-70,-68,4
-75,-64,-85,-72,4
-82,-59,-83,-74,4
-78,-63,-69,-79,4
-79,-70,-78,-61,4
-75,-63,-81,-81,4
-73,-65,-76,-80,4
-73,-65,-76,-80,4
-80,-65,-71,-73,4
-65,-54,-80,-81,4
-73,-64,-74,-74,4
-75,-65,-78,-83,4
-75,-54,-81,-75,4
-83,-64,-85,-75,4
-84,-64,-77,-75,4
-89,-64,-76,-74,4
-79,-63,-80,-73,4
-79,-64,-76,-71,4
-79,-63,-83,-75,4
-80,-49,-77,-71,4
-78,-64,-80,-71,4
-66,-63,-85,-72,4
-76,-63,-65,-75,4
-76,-63,-78,-83,4
-83,-64,-80,-83,4
-61,-64,-75,-74,4
-75,-48,-82,-75,4
-75,-64,-80,-73,4
-72,-64,-80,-77,4
-73,-64,-82,-79,4
-73,-63,-71,-59,4
-73,-63,-79,-73,4
-75,-64,-76,-73,4
-69,-58,-76,-78,4
-73,-89,-62,-68,5
-71,-74,-78,-68,5
-75,-75,-78,-83,5
-72,-88,-93,-84,5
-88,-74,-79,-77,5
-71,-74,-88,-70,5
-73,-74,-91,-70,5
-73,-84,-77,-55,5
-72,-92,-87,-69,5
-71,-73,-61,-83,5
-73,-73,-79,-72,5
-88,-87,-85,-79,5
-88,-73,-93,-74,5
-71,-80,-93,-73,5
-71,-57,-78,-76,5
-63,-83,-87,-83,5
-71,-73,-79,-83,5
-73,-58,-79,-75,5
-72,-71,-79,-75,5
-73,-74,-77,-77,5
-70,-73,-79,-86,5
-70,-75,-79,-78,5
-85,-75,-86,-62,5
-73,-86,-80,-81,5
-58,-73,-80,-75,5
-71,-92,-80,-75,5
-72,-73,-78,-76,5
-71,-74,-92,-74,5
-71,-84,-85,-75,5
-62,-73,-88,-71,5
-71,-93,-88,-72,5
-71,-74,-88,-69,5
-71,-95,-78,-72,5
-72,-74,-89,-72,5
-71,-91,-78,-87,5
-71,-86,-76,-57,5
-74,-78,-76,-73,5
-85,-74,-78,-73,5
-71,-93,-97,-85,5
-71,-73,-77,-85,5
-71,-74,-77,-72,5
-72,-87,-68,-57,5
-73,-87,-86,-72,5
-72,-88,-86,-72,5
-72,-74,-86,-71,5
-72,-74,-64,-73,5
-72,-85,-71,-78,5
-71,-85,-90,-73,5
-86,-85,-78,-74,5
-70,-73,-90,-74,5
-88,-81,-87,-73,5
-88,-82,-68,-71,5
-72,-83,-68,-82,5
-73,-83,-82,-71,5
-55,-91,-82,-72,5
-71,-88,-80,-73,5
-73,-61,-79,-73,5
-73,-58,-71,-73,5
-72,-74,-79,-82,5
-73,-88,-79,-82,5
-72,-95,-85,-63,5
-72,-95,-85,-72,5
-73,-94,-85,-71,5
-56,-74,-95,-71,5
-71,-74,-95,-86,5
-72,-73,-77,-86,5
-74,-75,-79,-85,5
-72,-74,-80,-70,5
-73,-87,-78,-70,5
-82,-57,-79,-81,5
-72,-73,-79,-74,5
-72,-57,-77,-72,5
-73,-94,-78,-72,5
-72,-94,-78,-58,5
-71,-73,-79,-87,5
-71,-72,-62,-80,5
-72,-89,-78,-72,5
-75,-73,-87,-74,5
-72,-74,-87,-82,5
-71,-86,-91,-81,5
-72,-73,-79,-57,5
-72,-72,-78,-90,5
-57,-86,-79,-75,5
-73,-73,-85,-75,5
-73,-74,-87,-67,5
-73,-82,-85,-70,5
-71,-70,-85,-73,5
-71,-73,-86,-83,5
-72,-57,-86,-77,5
-71,-82,-80,-69,5
-72,-84,-79,-74,5
-56,-84,-96,-74,5
-73,-85,-73,-74,5
-72,-85,-73,-79,5
-57,-86,-79,-87,5
-72,-83,-63,-75,5
-71,-92,-80,-73,5
-72,-74,-87,-71,5
-71,-83,-79,-74,5
-73,-86,-79,-72,5
-71,-73,-79,-72,5
-71,-90,-62,-73,5
-72,-92,-91,-69,5
-58,-75,-92,-69,5
-72,-75,-92,-80,5
-72,-86,-80,-73,5
-72,-57,-84,-77,5
-73,-57,-84,-74,5
-75,-74,-78,-58,5
-74,-73,-85,-87,5
-72,-84,-88,-87,5
-70,-84,-74,-59,5
-73,-75,-94,-57,5
-72,-75,-78,-90,5
-56,-75,-78,-57,5
-56,-58,-78,-72,5
-56,-71,-82,-72,5
-74,-71,-76,-79,5
-57,-85,-76,-71,5
-57,-74,-76,-74,5
-61,-59,-93,-75,5
-74,-74,-62,-72,5
-74,-86,-63,-73,5
-72,-86,-76,-84,5
-71,-86,-85,-57,5
-62,-86,-92,-73,5
-66,-80,-77,-75,5
-87,-86,-77,-72,5
-72,-86,-77,-78,5
-63,-67,-92,-72,5
-55,-73,-88,-73,5
-71,-73,-80,-73,5
-74,-84,-79,-85,5
-62,-74,-76,-71,5
-87,-82,-76,-71,5
-87,-57,-78,-73,5
-71,-83,-91,-71,5
-71,-88,-91,-76,5
-73,-88,-84,-80,5
-73,-86,-84,-80,5
-74,-87,-84,-83,5
-72,-96,-79,-75,5
-72,-96,-87,-59,5
-73,-82,-67,-73,5
-73,-90,-78,-70,5
-72,-86,-73,-72,5
-72,-86,-78,-80,5
-72,-86,-80,-70,5
-72,-86,-80,-88,5
-72,-76,-78,-75,5
-74,-86,-89,-77,5
-73,-87,-70,-71,5
-72,-57,-70,-71,5
-74,-85,-92,-71,5
-73,-83,-79,-72,5
-72,-84,-78,-73,5
-72,-75,-90,-71,5
-71,-75,-90,-73,5
-71,-84,-90,-76,5
-72,-74,-88,-72,5
-71,-86,-94,-76,5
-67,-84,-87,-73,5
-73,-75,-78,-88,5
-71,-73,-79,-88,5
-57,-73,-79,-58,5
-72,-83,-93,-75,5
-60,-74,-80,-88,5
-71,-76,-77,-57,5
-73,-85,-79,-71,5
-56,-77,-90,-86,5
-59,-58,-62,-84,5
-72,-76,-80,-73,5
-72,-88,-62,-81,5
-61,-57,-62,-73,5
-71,-73,-90,-79,5
-73,-97,-90,-79,5
-73,-91,-90,-87,5
-64,-84,-78,-73,5
-71,-90,-83,-73,5
-72,-74,-83,-70,5
-59,-73,-91,-71,5
-71,-88,-79,-76,5
-72,-90,-82,-71,5
-73,-73,-84,-73,5
-72,-83,-84,-72,5
-72,-77,-84,-76,5
-72,-85,-84,-73,5
-59,-80,-78,-73,5
-63,-74,-78,-75,5
-72,-75,-80,-74,5
-72,-93,-86,-72,5
-72,-80,-86,-73,5
-56,-72,-78,-72,5
-56,-73,-79,-73,5
-72,-86,-79,-72,5
-69,-73,-78,-74,5
-71,-74,-83,-70,5
-59,-91,-80,-79,5
-73,-87,-77,-74,5
-72,-67,-68,-87,5
-70,-96,-79,-68,5
-74,-91,-78,-73,5
-72,-91,-94,-81,5
-71,-86,-78,-74,5
-58,-75,-78,-75,5
-62,-72,-78,-82,5
-72,-72,-92,-83,5
-71,-72,-77,-83,5
-55,-74,-97,-86,5
-71,-74,-77,-71,5
-74,-74,-79,-83,5
-71,-74,-79,-72,5
-73,-73,-78,-75,5
-72,-74,-78,-86,5
-72,-88,-77,-86,5
-72,-97,-77,-75,5
-71,-77,-78,-88,5
-73,-88,-78,-86,5
-73,-87,-96,-83,5
-57,-58,-96,-73,5
-73,-58,-78,-73,5
-72,-81,-87,-73,5
-72,-74,-77,-78,5
-72,-83,-94,-71,5
-72,-83,-77,-72,5
-73,-57,-94,-72,5
-65,-91,-89,-73,5
-71,-82,-85,-76,5
-71,-82,-85,-86,5
-73,-74,-85,-72,5
-72,-74,-78,-71,5
-72,-81,-84,-71,5
-71,-73,-84,-64,5
-72,-73,-93,-73,5
-58,-79,-90,-74,5
-62,-85,-90,-71,5
-71,-74,-91,-63,5
-74,-87,-81,-85,5
-74,-73,-79,-74,5
-73,-72,-93,-73,5
-72,-83,-91,-73,5
-70,-82,-78,-77,5
-90,-82,-80,-76,5
-75,-87,-90,-75,5
-71,-83,-62,-65,5
-72,-85,-62,-77,5
-75,-79,-78,-87,5
-71,-72,-66,-62,5
-71,-72,-86,-74,5
-71,-79,-75,-75,5
-71,-85,-85,-75,5
-71,-75,-77,-75,5
-62,-73,-91,-75,5
-56,-85,-84,-75,5
-73,-91,-78,-67,5
-63,-73,-65,-74,5
-71,-73,-65,-69,5
-71,-73,-79,-68,5
-72,-74,-72,-58,5
-71,-85,-76,-73,5
-71,-64,-88,-85,5
-71,-82,-85,-58,5
-72,-90,-85,-72,5
-72,-90,-77,-70,5
-73,-62,-93,-60,5
-71,-62,-80,-74,5
-70,-72,-79,-70,5
-72,-75,-79,-71,5
-72,-73,-81,-82,5
-71,-90,-81,-71,5
-71,-75,-81,-63,5
-69,-87,-92,-72,5
-71,-69,-96,-77,5
-71,-69,-87,-74,5
-73,-74,-94,-73,5
-58,-85,-78,-72,5
-75,-85,-77,-66,5
-72,-88,-89,-71,5
-72,-85,-89,-72,5
-72,-78,-91,-72,5
-71,-73,-91,-70,5
-71,-92,-87,-72,5
-73,-74,-80,-74,5
-56,-74,-90,-60,5
-73,-91,-90,-76,5
-58,-75,-79,-76,5
-73,-74,-77,-75,5
-56,-74,-91,-66,5
-72,-74,-66,-81,5
-71,-85,-94,-81,5
-73,-73,-62,-72,5
-71,-74,-96,-83,5
-71,-57,-79,-78,5
-63,-86,-82,-62,5
-71,-86,-85,-74,5
-72,-73,-85,-83,5
-72,-73,-90,-72,5
-72,-73,-89,-75,5
-72,-74,-89,-83,5
-74,-82,-94,-72,5
-73,-74,-82,-65,6
-74,-73,-78,-67,6
-74,-61,-80,-67,6
-74,-82,-66,-65,6
-73,-83,-77,-54,6
-76,-83,-82,-66,6
-76,-87,-79,-68,6
-87,-87,-83,-54,6
-87,-72,-81,-77,6
-77,-81,-79,-65,6
-79,-83,-81,-67,6
-78,-74,-82,-85,6
-71,-81,-82,-68,6
-89,-81,-82,-67,6
-71,-73,-81,-69,6
-71,-76,-78,-66,6
-75,-83,-70,-74,6
-79,-78,-80,-69,6
-76,-79,-82,-73,6
-73,-76,-80,-67,6
-75,-83,-88,-76,6
-95,-73,-83,-73,6
-75,-75,-81,-69,6
-76,-73,-83,-67,6
-75,-76,-83,-68,6
-75,-76,-83,-82,6
-76,-76,-82,-74,6
-74,-77,-75,-71,6
-79,-80,-65,-73,6
-80,-73,-79,-72,6
-75,-74,-79,-65,6
-73,-75,-81,-71,6
-77,-59,-81,-71,6
-69,-81,-82,-70,6
-77,-75,-69,-69,6
-76,-78,-69,-54,6
-62,-80,-82,-70,6
-76,-77,-82,-66,6
-73,-77,-75,-66,6
-81,-81,-94,-74,6
-66,-72,-94,-68,6
-75,-73,-94,-65,6
-75,-74,-81,-69,6
-77,-76,-80,-73,6
-79,-76,-87,-67,6
-60,-82,-81,-65,6
-78,-73,-82,-67,6
-79,-77,-79,-59,6
-81,-59,-81,-59,6
-68,-81,-91,-73,6
-80,-81,-68,-68,6
-76,-74,-83,-72,6
-76,-74,-83,-66,6
-76,-78,-78,-68,6
-78,-94,-81,-70,6
-77,-62,-81,-69,6
-77,-76,-79,-74,6
-66,-79,-80,-70,6
-79,-77,-84,-65,6
-76,-72,-80,-74,6
-79,-80,-79,-67,6
-75,-72,-72,-59,6
-80,-73,-78,-71,6
-78,-74,-81,-55,6
-62,-75,-81,-65,6
-62,-80,-79,-66,6
-62,-75,-80,-84,6
-74,-75,-80,-59,6
-74,-72,-80,-68,6
-61,-72,-79,-66,6
-78,-73,-75,-73,6
-74,-73,-75,-66,6
-77,-76,-80,-67,6
-76,-76,-64,-75,6
-76,-75,-83,-66,6
-75,-82,-82,-68,6
-61,-82,-82,-63,6
-76,-62,-80,-71,6
-76,-58,-80,-65,6
-74,-79,-76,-85,6
-74,-71,-82,-55,6
-74,-80,-86,-75,6
-79,-80,-96,-64,6
-79,-59,-82,-73,6
-82,-83,-91,-66,6
-77,-72,-75,-67,6
-76,-61,-80,-70,6
-78,-80,-82,-78,6
-76,-76,-87,-70,6
-76,-79,-76,-61,6
-77,-72,-90,-69,6
-77,-79,-83,-66,6
-75,-75,-80,-75,6
-76,-64,-79,-69,6
-78,-79,-81,-76,6
-63,-73,-79,-65,6
-63,-73,-85,-67,6
-76,-73,-83,-74,6
-73,-79,-81,-73,6
-75,-80,-80,-73,6
-79,-76,-80,-54,6
-81,-73,-81,-76,6
-74,-78,-81,-76,6
-77,-73,-98,-69,6
-76,-73,-81,-60,6
-80,-79,-85,-65,6
-80,-86,-81,-68,6
-66,-81,-84,-68,6
-79,-68,-94,-65,6
-77,-78,-89,-73,6
-78,-75,-89,-69,6
-78,-79,-89,-76,6
-77,-79,-82,-54,6
-62,-82,-82,-65,6
-75,-82,-83,-64,6
-80,-81,-86,-69,6
-75,-81,-80,-67,6
-65,-74,-83,-50,6
-76,-73,-79,-75,6
-76,-59,-82,-66,6
-75,-76,-82,-75,6
-73,-76,-78,-69,6
-73,-80,-83,-69,6
-78,-75,-79,-65,6
-77,-84,-75,-60,6
-77,-73,-83,-73,6
-74,-73,-80,-71,6
-78,-72,-91,-69,6
-77,-63,-79,-75,6
-74,-63,-79,-65,6
-74,-68,-73,-68,6
-75,-72,-79,-65,6
-85,-76,-81,-72,6
-80,-76,-80,-61,6
-78,-58,-81,-61,6
-77,-77,-78,-55,6
-86,-79,-69,-50,6
-80,-74,-81,-64,6
-74,-79,-81,-65,6
-74,-72,-80,-49,6
-74,-58,-80,-65,6
-74,-76,-81,-75,6
-79,-81,-81,-69,6
-74,-62,-80,-64,6
-79,-77,-80,-69,6
-77,-82,-66,-69,6
-77,-72,-80,-49,6
-77,-65,-81,-65,6
-79,-76,-80,-75,6
-79,-73,-80,-70,6
-78,-81,-80,-48,6
-79,-72,-67,-65,6
-72,-72,-76,-65,6
-59,-73,-76,-66,6
-63,-73,-67,-75,6
-75,-72,-80,-60,6
-68,-72,-66,-69,6
-80,-74,-81,-64,6
-77,-76,-80,-70,6
-79,-83,-83,-68,6
-79,-72,-69,-64,6
-79,-84,-78,-61,6
-60,-82,-82,-65,6
-61,-73,-81,-66,6
-64,-80,-80,-70,6
-74,-80,-79,-68,6
-76,-58,-71,-75,6
-63,-82,-80,-54,6
-62,-71,-79,-54,6
-79,-59,-79,-54,6
-77,-82,-81,-64,6
-78,-77,-65,-59,6
-80,-77,-81,-75,6
-62,-58,-81,-61,6
-80,-76,-78,-62,6
-73,-76,-68,-68,6
-75,-72,-79,-67,6
-79,-81,-79,-65,6
-75,-81,-78,-64,6
-78,-72,-71,-69,6
-72,-75,-79,-64,6
-77,-65,-79,-70,6
-78,-80,-82,-66,6
-81,-59,-82,-66,6
-81,-74,-84,-49,6
-80,-73,-80,-65,6
-80,-76,-81,-77,6
-77,-75,-81,-77,6
-79,-75,-82,-70,6
-80,-76,-82,-66,6
-75,-79,-80,-73,6
-67,-79,-67,-66,6
-75,-82,-67,-65,6
-73,-66,-83,-69,6
-79,-75,-79,-65,6
-60,-81,-79,-58,6
-75,-80,-66,-75,6
-73,-80,-79,-65,6
-78,-77,-84,-72,6
-78,-76,-81,-65,6
-79,-81,-80,-61,6
-79,-72,-80,-73,6
-73,-72,-80,-75,6
-62,-73,-82,-70,6
-62,-73,-82,-61,6
-62,-81,-82,-69,6
-80,-61,-79,-68,6
-80,-77,-80,-65,6
-71,-76,-80,-65,6
-71,-81,-80,-61,6
-82,-81,-80,-74,6
-78,-80,-81,-64,6
-64,-82,-80,-75,6
-74,-82,-83,-69,6
-64,-76,-80,-60,6
-76,-71,-81,-66,6
-80,-74,-81,-75,6
-80,-74,-81,-75,6
-80,-61,-81,-60,6
-77,-76,-78,-70,6
-74,-69,-78,-59,6
-62,-78,-78,-73,6
-79,-62,-69,-70,6
-62,-80,-76,-70,6
-74,-80,-79,-70,6
-59,-57,-80,-68,6
-78,-81,-80,-67,6
-82,-66,-81,-65,6
-77,-63,-75,-68,6
-71,-80,-79,-65,6
-76,-80,-81,-65,6
-80,-74,-81,-68,6
-74,-72,-82,-68,6
-76,-72,-78,-76,6
-80,-81,-81,-67,6
-79,-73,-79,-73,6
-80,-77,-79,-73,6
-68,-73,-79,-73,6
-79,-76,-79,-74,6
-74,-78,-87,-70,6
-80,-75,-78,-65,6
-63,-77,-79,-68,6
-76,-58,-81,-73,6
-79,-81,-82,-75,6
-75,-81,-80,-66,6
-67,-59,-66,-53,6
-77,-73,-68,-65,6
-74,-82,-80,-68,6
-81,-83,-78,-68,6
-78,-82,-80,-75,6
-80,-78,-80,-66,6
-68,-75,-79,-61,6
-82,-81,-79,-61,6
-79,-71,-79,-69,6
-77,-86,-80,-70,6
-64,-81,-83,-77,6
-79,-75,-64,-86,6
-80,-97,-79,-65,6
-76,-84,-80,-65,6
-79,-74,-69,-73,6
-79,-74,-67,-60,6
-78,-82,-78,-67,6
-82,-73,-87,-70,6
-81,-73,-79,-50,6
-81,-73,-83,-66,6
-76,-73,-83,-64,6
-75,-73,-80,-65,6
-71,-80,-80,-67,6
-77,-74,-83,-68,6
-73,-82,-83,-66,6
-76,-63,-63,-66,6
-76,-74,-81,-66,6
-78,-77,-69,-68,6
-80,-74,-80,-72,6
-77,-73,-69,-67,6
-74,-73,-81,-70,6
-61,-85,-79,-76,6
-74,-75,-85,-66,6
-73,-69,-81,-69,6
-60,-83,-81,-72,6
-74,-73,-83,-68,6
-73,-84,-81,-69,6
-74,-75,-79,-74,6
-76,-78,-79,-75,6
-74,-73,-82,-67,6
-66,-73,-82,-64,6
-66,-84,-80,-51,6
-73,-76,-83,-62,6
-77,-80,-81,-62,6
-74,-77,-79,-62,6
-74,-75,-79,-76,6
-73,-81,-80,-76,6
-78,-73,-78,-66,6
-75,-75,-80,-65,6
-78,-73,-79,-65,6
-77,-78,-77,-68,6
-78,-72,-76,-68,6
-74,-73,-78,-68,6
-61,-73,-81,-75,6
-79,-72,-93,-75,6
-79,-72,-81,-71,6
-80,-73,-83,-73,6
-80,-72,0,-68,7
-70,-72,-87,-70,7
-80,-76,-86,-70,7
-75,-83,-88,-69,7
-89,-76,-84,-75,7
-66,-74,-84,-71,7
-77,-77,-87,-71,7
-65,-77,-83,-71,7
-63,-75,-84,-69,7
-77,-74,-83,-72,7
-78,-74,-88,-71,7
-76,-77,-87,-66,7
-76,-77,-87,-71,7
-75,-72,-87,-68,7
-76,-72,-87,-71,7
-82,-77,-86,-71,7
-78,-75,-86,-80,7
-77,-74,-88,-57,7
-76,-77,-86,-71,7
-62,-62,-74,-68,7
-85,-83,-89,-67,7
-75,-79,-89,-73,7
-71,-75,-90,-70,7
-71,-80,-85,-71,7
-78,-76,-85,-68,7
-81,-76,-87,-70,7
-77,-76,-87,-70,7
-77,-73,-86,-71,7
-82,-78,-85,-71,7
-86,-77,-84,-70,7
-75,-67,-84,-69,7
-77,-77,-84,-71,7
-77,-75,-90,-74,7
-77,-75,-90,-70,7
-78,-73,-86,-73,7
-86,-75,-75,-68,7
-81,-74,-84,-69,7
-77,-74,-70,-69,7
-80,-73,-70,-58,7
-77,-76,-70,-68,7
-77,-73,-92,-71,7
-80,-76,-89,-71,7
-78,-77,-89,-68,7
-78,-73,-81,-68,7
-77,-77,-83,-68,7
-77,-77,-83,-69,7
-78,-75,-96,-70,7
-76,-77,-88,-71,7
-76,-75,-92,-68,7
-78,-73,-92,-54,7
-63,-76,-85,-56,7
-63,-74,-86,-71,7
-67,-74,-87,-53,7
-77,-73,-89,-70,7
-77,-66,-87,-70,7
-80,-73,-84,-59,7
-77,-77,-87,-67,7
-76,-75,-87,-67,7
-75,-72,-87,-56,7
-77,-75,-87,-72,7
-78,-77,-72,-72,7
-78,-77,-72,-52,7
-77,-62,-77,-52,7
-78,-57,-85,-72,7
-76,-77,-85,-59,7
-76,-73,-89,-69,7
-76,-76,-87,-74,7
-76,-78,-88,-74,7
-77,-78,-90,-69,7
-78,-76,-89,-53,7
-79,-63,-87,-57,7
-78,-78,-87,-67,7
-77,-75,-87,-68,7
-78,-78,-87,-58,7
-77,-62,-89,-57,7
-83,-74,-75,-71,7
-82,-74,-75,-70,7
-82,-58,-84,-52,7
-81,-75,-89,-52,7
-82,-77,-84,-69,7
-81,-73,-86,-69,7
-77,-74,-85,-70,7
-87,-74,-85,-69,7
-82,-74,-82,-68,7
-62,-74,-84,-69,7
-62,-73,-86,-75,7
-62,-73,-86,-68,7
-62,-76,-88,-72,7
-78,-73,-84,-60,7
-75,-76,-74,-73,7
-77,-73,-74,-69,7
-77,-73,-87,-68,7
-64,-75,-87,-68,7
-67,-76,-90,-74,7
-76,-77,-90,-73,7
-77,-75,-85,-69,7
-61,-75,-85,-69,7
-77,-75,-90,-69,7
-68,-75,-87,-55,7
-68,-78,-75,-68,7
-79,-75,-89,-75,7
-77,-74,-89,-76,7
-64,-75,-88,-69,7
-79,-73,-85,-69,7
-79,-61,-87,-73,7
-79,-75,-90,-55,7
-79,-75,-90,-70,7
-79,-73,-77,-71,7
-65,-73,-84,-57,7
-79,-74,-84,-69,7
-79,-61,-87,-55,7
-65,-76,-87,-69,7
-82,-73,-87,-69,7
-78,-62,-87,-74,7
-78,-60,-87,-71,7
-81,-67,-87,-69,7
-78,-73,-87,-57,7
-78,-72,-85,-55,7
-79,-75,-80,-69,7
-79,-76,-80,-70,7
-78,-74,-77,-69,7
-78,-73,-76,-71,7
-78,-74,-76,-72,7
-78,-62,-76,-69,7
-63,-76,-76,-69,7
-63,-75,-83,-74,7
-79,-75,-72,-70,7
-79,-75,-86,-69,7
-80,-73,-88,-71,7
-77,-75,-88,-68,7
-77,-75,-87,-69,7
-78,-73,-87,-72,7
-63,-73,-84,-70,7
-63,-75,-84,-74,7
-76,-78,-88,-69,7
-76,-75,-86,-69,7
-77,-78,-83,-69,7
-76,-75,-87,-69,7
-62,-74,-90,-68,7
-62,-76,-90,-69,7
-79,-77,-82,-65,7
-76,-80,-87,-69,7
-76,-76,-88,-69,7
-76,-76,-70,-67,7
-79,-76,-90,-70,7
-79,-72,-81,-70,7
-76,-76,-81,-70,7
-77,-74,-88,-72,7
-77,-75,-84,-70,7
-77,-58,-87,-72,7
-63,-61,-87,-67,7
-78,-74,-87,-69,7
-77,-74,-87,-68,7
-77,-61,-87,-70,7
-78,-76,-90,-71,7
-83,-73,-88,-69,7
-80,-75,-87,-78,7
-77,-77,-89,-68,7
-79,-75,-86,-69,7
-76,-62,-88,-67,7
-76,-62,-88,-67,7
-77,-74,-68,-67,7
-82,-77,-68,-70,7
-78,-75,-68,-64,7
-77,-73,-87,-71,7
-78,-75,-87,-68,7
-75,-75,-85,-69,7
-78,-76,-88,-72,7
-82,-76,-84,-67,7
-77,-74,-84,-72,7
-76,-76,-87,-68,7
-77,-77,-85,-70,7
