B1_RSSI,B2_RSSI,B3_RSSI,B4_RSSI,Class
-70,-77,-81,-70,1
-59,-75,-91,-71,1
-65,-83,-81,-77,1
-74,-75,-80,-70,1
-66,-76,-80,-77,1
-66,-62,-81,-71,1
-67,-77,-79,-71,1
-71,-77,-73,-76,1
-71,-77,-80,-78,1
-71,-77,-93,-58,1
-72,-76,-85,-70,1
-70,-76,-85,-70,1
-70,-60,-85,-75,1
-75,-76,-95,-75,1
-75,-74,-69,-71,1
-70,-75,-80,-62,1
-74,-91,-80,-77,1
-65,-91,-66,-70,1
-72,-76,-83,-62,1
-67,-76,-69,-71,1
-74,-91,-80,-55,1
-66,-76,-90,-70,1
-72,-93,-88,-72,1
-74,-93,-88,-76,1
-65,-89,-92,-69,1
-60,-89,-80,-70,1
-66,-77,-73,-71,1
-74,-76,-88,-55,1
-65,-76,-90,-58,1
-73,-61,-80,-61,1
-57,-61,-80,-71,1
-66,-76,-79,-71,1
-59,-75,-69,-70,1
-71,-76,-79,-77,1
-65,-77,-82,-78,1
-66,-69,-82,-71,1
-71,-75,-80,-55,1
-62,-89,-86,-66,1
-76,-76,-87,-70,1
-60,-76,-87,-71,1
-74,-91,-79,-55,1
-65,-66,-86,-76,1
-70,-76,-80,-71,1
-65,-93,-80,-70,1
-50,-76,-87,-77,1
-65,-76,-91,-78,1
-74,-75,-73,-70,1
-71,-62,-80,-77,1
-50,-62,-80,-70,1
-75,-75,-80,-72,1
-67,-75,-80,-60,1
-56,-78,-85,-69,1
-75,-76,-88,-72,1
-66,-94,-79,-57,1
-71,-75,-89,-61,1
-66,-84,-79,-73,1
-71,-75,-79,-70,1
-60,-61,-79,-60,1
-74,-77,-92,-60,1
-74,-76,-92,-61,1
-65,-76,-82,-70,1
-71,-74,-86,-72,1
-65,-76,-96,-71,1
-48,-76,-93,-73,1
-70,-71,-68,-55,1
-66,-67,-88,-76,1
-57,-78,-87,-58,1
-57,-76,-87,-58,1
-65,-62,-80,-77,1
-50,-79,-83,-74,1
-49,-96,-77,-75,1
-64,-75,-79,-73,1
-74,-79,-87,-72,1
-71,-92,-87,-77,1
-61,-79,-76,-72,2
-72,-76,-76,-55,2
-66,-76,-66,-73,2
-63,-76,-79,-70,2
-53,-75,-92,-66,2
-53,-75,-77,-72,2
-57,-78,-79,-69,2
-68,-77,-62,-68,2
-66,-77,-76,-71,2
-64,-73,-80,-71,2
-67,-73,-79,-56,2
-70,-78,-77,-71,2
-62,-80,-76,-72,2
-63,-79,-78,-72,2
-62,-79,-78,-56,2
-63,-77,-77,-72,2
-73,-78,-79,-72,2
-59,-78,-77,-71,2
-68,-80,-75,-70,2
-62,-79,-77,-71,2
-72,-62,-76,-71,2
-62,-76,-79,-66,2
-73,-75,-77,-60,2
-53,-76,-76,-69,2
-52,-75,-77,-71,2
-72,-75,-76,-66,2
-66,-77,-77,-72,2
-62,-79,-84,-69,2
-47,-78,-77,-70,2
-74,-77,-76,-73,2
-72,-78,-76,-70,2
-64,-78,-61,-70,2
-52,-79,-75,-70,2
-73,-77,-75,-70,2
-53,-77,-76,-70,2
-58,-77,-76,-72,2
-72,-73,-76,-68,2
-72,-81,-80,-71,2
-72,-81,-80,-69,2
-68,-79,-61,-72,2
-68,-80,-72,-71,2
-72,-76,-78,-68,2
-70,-76,-75,-72,2
-73,-62,-61,-69,2
-73,-80,-78,-70,2
-68,-80,-80,-72,2
-68,-79,-80,-70,2
-63,-71,-77,-72,2
-57,-76,-77,-67,2
-63,-77,-65,-72,2
-64,-76,-92,-71,2
-68,-78,-75,-70,2
-64,-78,-67,-56,2
-62,-87,-87,-70,2
-73,-76,-76,-77,2
-72,-76,-77,-70,2
-72,-89,-77,-72,2
-71,-76,-77,-79,2
-62,-78,-77,-73,2
-63,-78,-74,-67,2
-63,-76,-80,-82,2
-57,-76,-77,-72,2
-62,-76,-74,-70,2
-63,-76,-76,-70,2
-72,-76,-78,-56,2
-72,-76,-78,-68,2
-58,-79,-81,-71,2
-68,-80,-76,-68,2
-62,-92,-72,-68,2
-64,-79,-72,-72,2
-58,-77,-76,-56,2
-62,-77,-76,-56,2
-72,-77,-75,-70,2
-68,-77,-62,-73,2
-72,-76,-62,-69,2
-68,-77,-62,-62,2
-66,-73,-77,-71,2
-72,-75,-75,-71,2
-67,-78,-77,-55,2
-67,-78,-75,-72,2
-72,-80,-75,-69,2
-63,-71,-75,-69,2
-68,-76,-77,-69,2
-66,-77,-80,-67,2
-67,-78,-88,-70,2
-73,-90,-77,-69,2
-63,-79,-95,-72,2
-68,-68,-80,-69,2
-67,-68,-80,-65,2
-68,-76,-79,-71,2
-62,-77,-79,-68,2
-73,-77,-79,-72,2
-68,-77,-78,-70,2
-48,-77,-77,-72,2
-74,-79,-63,-72,2
-62,-78,-76,-73,2
-64,-76,-76,-70,2
-68,-78,-76,-68,2
-62,-77,-79,-64,2
-62,-68,-76,-56,2
-62,-76,-86,-71,2
-73,-78,-79,-70,2
-62,-76,-74,-55,2
-62,-76,-77,-55,2
-62,-78,-79,-56,2
-62,-72,-79,-70,2
-62,-77,-77,-72,2
-67,-77,-76,-70,2
-67,-76,-78,-73,2
-74,-88,-77,-54,2
-68,-78,-76,-72,2
-69,-77,-81,-68,2
-68,-75,-78,-68,2
-66,-77,-79,-70,2
-63,-62,-93,-72,2
-62,-80,-80,-71,2
-72,-75,-88,-82,2
-63,-81,-77,-71,2
-75,-72,-77,-82,2
-74,-78,-79,-65,2
-61,-76,-80,-71,2
-68,-76,-79,-69,2
-72,-75,-80,-70,2
-72,-62,-86,-54,2
-62,-75,-72,-54,2
-62,-77,-76,-74,2
-63,-73,-76,-72,2
-68,-77,-82,-72,2
-66,-79,-77,-70,2
-62,-85,-77,-56,2
-51,-85,-80,-68,2
-72,-76,-77,-71,2
-68,-75,-78,-56,2
-62,-76,-78,-68,2
-68,-82,-75,-67,2
-74,-79,-79,-70,2
-66,-82,-63,-71,2
-73,-77,-63,-67,2
-68,-75,-76,-70,2
-73,-80,-62,-55,2
-77,-80,-62,-70,2
-72,-78,-80,-72,2
-62,-77,-77,-73,2
-62,-77,-76,-70,2
-68,-77,-70,-76,2
-52,-76,-62,-70,2
-73,-79,-78,-68,2
-73,-77,-76,-71,2
-68,-77,-76,-70,2
-59,-77,-77,-72,2
-63,-76,-77,-70,2
-73,-76,-81,-67,2
-72,-77,-69,-69,2
-63,-78,-76,-69,2
-64,-74,-77,-71,2
-64,-76,-77,-71,2
-64,-78,-79,-72,2
-63,-75,-61,-68,2
-61,-72,-79,-71,2
-71,-77,-73,-72,2
-62,-75,-78,-72,2
-62,-75,-62,-71,2
-61,-77,-76,-71,2
-66,-77,-76,-72,2
-74,-78,-76,-62,2
-62,-78,-77,-73,2
-66,-75,-61,-71,2
-59,-72,-61,-56,2
-62,-78,-77,-70,2
-67,-78,-76,-61,2
-70,-77,-78,-68,2
-63,-75,-69,-68,2
-72,-82,-76,-71,2
-73,-82,-79,-56,2
-66,-81,-78,-67,2
-68,-81,-76,-72,2
-73,-74,-78,-70,2
-56,-80,-78,-72,2
-68,-80,-74,-74,2
-61,-85,-74,-73,2
